21:12:23.099 INFO  - User John Wick added operation: Income{id = 1; account id = 2; amount = 1000; creation time = 2020-09-07T21:12:23.016073; income categories = {Salary,Gifts}
21:12:23.118 INFO  - User Ann White added operation: Income{id = 2; account id = 4; amount = 600; creation time = 2020-09-07T21:12:23.106879; income categories = {Gifts}
21:12:23.135 INFO  - User Ann White added operation: Income{id = 3; account id = 4; amount = 1000; creation time = 2020-09-07T21:12:23.121859; income categories = {Salary,Gifts}
21:12:23.151 INFO  - User John Wick added operation: Income{id = 4; account id = 2; amount = 600; creation time = 2020-09-07T21:12:23.141993; income categories = {Gifts}
21:12:23.168 INFO  - User John Wick added operation: Income{id = 5; account id = 1; amount = 1000; creation time = 2020-09-07T21:12:23.155093; income categories = {Salary,Gifts}
21:12:23.183 INFO  - User John Wick added operation: Expense{id = 6; account id = 1; amount = -800; creation time = 2020-09-07T21:12:23.170804; expense categories = {Food,Transport}
21:12:23.192 INFO  - User John Wick added operation: Income{id = 7; account id = 1; amount = 600; creation time = 2020-09-07T21:12:23.186284; income categories = {Gifts}
21:12:23.203 INFO  - User John Wick added operation: Expense{id = 8; account id = 1; amount = -200; creation time = 2020-09-07T21:12:23.195564; expense categories = {Transport}
21:12:27.221 INFO  - User John Wick added operation: Income{id = 9; account id = 1; amount = 1000; creation time = 2020-09-07T21:12:27.209294; income categories = {Salary,Gifts}
21:12:27.237 INFO  - User John Wick added operation: Expense{id = 10; account id = 1; amount = -800; creation time = 2020-09-07T21:12:27.224189; expense categories = {Food,Transport}
21:12:27.247 INFO  - User John Wick added operation: Income{id = 11; account id = 1; amount = 600; creation time = 2020-09-07T21:12:27.239721; income categories = {Gifts}
21:12:27.259 INFO  - User John Wick added operation: Expense{id = 12; account id = 1; amount = -200; creation time = 2020-09-07T21:12:27.250674; expense categories = {Transport}
21:12:27.272 INFO  - User John Wick added operation: Expense{id = 13; account id = 2; amount = -200; creation time = 2020-09-07T21:12:27.263444; expense categories = {Food}
21:12:27.286 INFO  - User Ann White added operation: Expense{id = 14; account id = 4; amount = -350; creation time = 2020-09-07T21:12:27.278133; expense categories = {Transport}
